time="2024-05-08T16:11:27.270" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:27.270" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:30.275" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:30.275" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:33.280" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:33.281" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:36.287" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:36.287" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:39.292" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:39.292" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:42.299" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:42.299" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:45.304" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:45.304" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:48.309" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:48.309" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:51.314" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:51.314" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:54.319" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:54.319" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:11:57.324" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:11:57.324" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:12:00.328" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:12:00.328" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:12:03.335" level=warning msg="Resource predicate not passed, object not found..."
